slug	description	proposed_fix	examples_affected
time-reversal	Time reversal reconstruction via sensor.time_reversal_boundary_data	Add time-reversal mode to kWavePy: reverse time loop, inject boundary data as Dirichlet source	example_pr_2D_TR_absorption_compensation, example_pr_2D_TR_autofocus, example_pr_2D_TR_bandlimited_sensors, example_pr_2D_TR_circular_sensor, example_pr_2D_TR_directional_sensors, example_pr_2D_TR_line_sensor, example_pr_2D_TR_time_variant_filtering, example_pr_3D_TR_planar_sensor, example_pr_3D_TR_spherical_sensor
directional-sensor	Directional sensor elements (sensor.directivity_angle/size/pattern)	Implement directivity weighting in sensor extraction using angular sensitivity kernel	example_sd_sensor_directivity_2D, example_pr_2D_TR_directional_sensors
frequency-response	Sensor frequency response filter (sensor.frequency_response)	Apply Gaussian bandpass filter to recorded time-series in post-processing	example_ivp_sensor_frequency_response
alpha-mode	Absorption mode control: no_absorption, no_dispersion, stokes (medium.alpha_mode)	Add alpha_mode parameter to selectively disable absorption or dispersion operators	(none currently; used in advanced workflows)
alpha-sign	Absorption sign reversal for time-reversal compensation (medium.alpha_sign)	Flip sign of absorption/dispersion operators when alpha_sign is set	example_pr_2D_TR_absorption_compensation
alpha-filter	Frequency-domain absorption filter (medium.alpha_filter)	Apply user-supplied spectral filter after absorption operator	example_pr_2D_TR_absorption_compensation
sound-speed-ref	Reference sound speed override (medium.sound_speed_ref)	Use sound_speed_ref instead of max(c0) for k-space correction term	example_tvsp_slit_diffraction
rect-corner-sensor	Opposing-corner rectangular sensor mask (2xN index pairs)	Detect 2x2/2x3 sensor.mask as corner-pair format; expand to binary mask	example_ivp_opposing_corners_sensor_mask, example_tvsp_transducer_field_patterns, example_tvsp_angular_spectrum, example_tvsp_equivalent_source_holography, example_ewp_3D_simulation
p-max-all	Full-grid pressure max/min snapshots (p_max_all, p_min_all)	Track running max/min over full grid in step(); return as 2D/3D arrays	example_diff_focused_ultrasound_heating
u-max-all	Full-grid velocity max/min snapshots (u_max_all, u_min_all)	Track running max/min of velocity fields over full grid in step()	example_ewp_shear_wave_snells_law
data-cast	Single-precision and gpuArray casting (DataCast parameter)	Pass dtype to kWavePy; use float32 arrays when DataCast='single'	example_na_optimising_performance, example_us_beam_patterns, example_us_bmode_linear_transducer, example_us_bmode_phased_array, example_us_defining_transducer, example_us_transducer_as_sensor, example_ivp_3D_simulation, example_ivp_photoacoustic_waveforms, (21 more)
save-to-disk	Save input data to HDF5 for C++/CUDA solvers (SaveToDisk)	Not applicable to Python backend; pass through or ignore gracefully	example_cpp_running_simulations
stream-to-disk	Stream sensor data to disk during simulation (StreamToDisk)	Write sensor data incrementally to HDF5 or NumPy file during time loop	example_us_beam_patterns
kwave-transducer	kWaveTransducer object as source/sensor	Implement transducer interface adapter in kspaceFirstOrderPy.m	example_us_beam_patterns, example_us_bmode_linear_transducer, example_us_bmode_phased_array, example_us_defining_transducer, example_us_transducer_as_sensor
kwave-array	kWaveArray off-grid source/sensor modeling	Implement kWaveArray integration in kspaceFirstOrderPy.m wrapper	example_at_focused_bowl_3D, example_at_focused_bowl_AS, example_at_linear_array_transducer, example_at_array_as_sensor, example_at_array_as_source, example_at_circular_piston_3D, example_at_circular_piston_AS, example_at_focused_annular_array_3D
rfftn-optimization	Real FFT optimization for ~2x speedup on real-valued fields	Use rfftn/irfftn with half-grid k-space operators (noted as TODO in kWavePy.py:582)	(performance; no example blocked)
